web_scraper_order,web_scraper_start_url,data,data2
"1774690073-1","https://socialblade.com/instagram/user/anikjaindesign","44,410th","SB Rank"
"1774690073-2","https://socialblade.com/instagram/user/anikjaindesign","144,373rd","Followers Rank"
"1774690073-3","https://socialblade.com/instagram/user/anikjaindesign","45,978th","Engagement Rate Rank"
